frame# 1    1822944988 []
frame# 2    1822945022 [(762, 258, 1, 4), (737, 256, 0, 3), (717, 262, 1, 4), (780, 267, 2, 5), (698, 276, 2, 5), (796, 285, 2, 4), (687, 296, 2, 5), (803, 306, 2, 5), (680, 318, 0, 1), (688, 321, 0, 2), (804, 330, 1, 4), (693, 340, 2, 5), (791, 350, 1, 4), (709, 361, 1, 4), (728, 368, 2, 6), (777, 366, 1, 4), (753, 373, 1, 4)]
frame# 3    1822945055 [(758, 262, 1, 4), (733, 260, 0, 3), (712, 268, 1, 4), (776, 272, 2, 5), (694, 280, 2, 5), (792, 289, 2, 4), (684, 300, 2, 4), (799, 309, 2, 4), (796, 318, 2, 1), (800, 334, 1, 4), (681, 325, 0, 3), (690, 344, 2, 5), (788, 353, 1, 4), (704, 356, 2, 1), (706, 365, 1, 4), (726, 371, 2, 5), (772, 370, 1, 4), (750, 378, 1, 4)]
frame# 4    1822945088 [(752, 265, 1, 4), (724, 263, 0, 2), (732, 265, 0, 2), (708, 271, 1, 4), (772, 274, 2, 5), (690, 284, 2, 5), (787, 292, 2, 4), (680, 304, 2, 5), (795, 314, 2, 5), (676, 329, 0, 4), (797, 338, 1, 4), (686, 348, 2, 5), (785, 358, 1, 4), (700, 360, 2, 1), (703, 369, 1, 4), (768, 373, 1, 5), (722, 375, 2, 6), (747, 381, 1, 4)]
frame# 5    1822945122 [(725, 268, 0, 4), (748, 270, 1, 4), (704, 275, 1, 4), (686, 288, 2, 5), (767, 278, 2, 4), (782, 297, 2, 5), (675, 309, 2, 5), (791, 316, 2, 5), (674, 332, 0, 3), (792, 343, 1, 4), (782, 362, 1, 5), (682, 353, 2, 5), (699, 373, 1, 4), (764, 377, 1, 5), (718, 379, 2, 6), (743, 385, 1, 5)]
frame# 6    1822945155 [(721, 271, 0, 3), (744, 274, 1, 4), (700, 279, 1, 4), (763, 282, 2, 5), (682, 292, 2, 5), (779, 300, 2, 5), (672, 314, 2, 5), (788, 321, 2, 5), (670, 332, 0, 2), (671, 342, 0, 3), (788, 345, 1, 5), (678, 358, 2, 6), (778, 366, 1, 4), (695, 377, 1, 5), (714, 384, 2, 6), (760, 381, 1, 5), (740, 390, 1, 5)]
frame# 7    1822945188 [(712, 274, 0, 1), (740, 277, 1, 4), (717, 279, 0, 3), (696, 285, 1, 5), (759, 287, 2, 5), (677, 299, 2, 6), (775, 304, 2, 5), (668, 319, 2, 5), (784, 325, 2, 4), (780, 334, 2, 1), (668, 343, 0, 3), (784, 350, 1, 4), (674, 363, 2, 6), (774, 370, 1, 4), (692, 383, 1, 4), (712, 390, 2, 6), (758, 387, 1, 4), (736, 394, 1, 4)]
frame# 8    1822945222 [(736, 284, 1, 4), (712, 284, 0, 4), (692, 290, 1, 4), (756, 292, 2, 5), (674, 303, 2, 5), (772, 310, 2, 5), (664, 324, 2, 6), (780, 331, 2, 6), (660, 346, 0, 1), (668, 346, 0, 1), (662, 354, 0, 3), (780, 354, 1, 4), (671, 369, 2, 5), (771, 376, 1, 5), (688, 389, 1, 4), (754, 392, 1, 5), (708, 395, 2, 6), (732, 397, 1, 4)]
frame# 9    1822945255 [(709, 288, 0, 3), (732, 289, 1, 5), (688, 296, 1, 4), (751, 299, 2, 5), (768, 314, 2, 5), (670, 308, 2, 6), (659, 330, 2, 5), (776, 335, 2, 5), (658, 357, 0, 3), (776, 360, 1, 4), (768, 381, 1, 5), (667, 375, 2, 5), (684, 393, 1, 5), (751, 397, 1, 5), (704, 400, 2, 6), (729, 405, 1, 4)]
frame# 10   1822945288 [(728, 293, 1, 4), (700, 290, 0, 1), (684, 301, 1, 4), (705, 295, 0, 3), (748, 301, 2, 4), (666, 314, 2, 5), (763, 317, 2, 4), (656, 334, 2, 5), (771, 339, 2, 5), (655, 360, 0, 4), (772, 364, 1, 4), (663, 379, 2, 5), (764, 385, 1, 5), (681, 397, 1, 4), (747, 401, 1, 5), (699, 406, 2, 6), (726, 409, 1, 4)]
frame# 11   1822945322 [(724, 297, 1, 4), (700, 298, 0, 4), (744, 307, 2, 5), (680, 307, 1, 4), (661, 319, 2, 5), (759, 324, 2, 5), (652, 340, 2, 5), (768, 344, 2, 5), (768, 368, 1, 5), (650, 365, 0, 4), (659, 385, 2, 5), (760, 391, 1, 4), (676, 403, 1, 5), (744, 406, 1, 5), (697, 411, 2, 6), (723, 415, 1, 4)]
