UNIX : 0.986099 ms, RTT : 0.000986, Camera Timestamp : 0 ms, Blob info : []
UNIX : 1.985073 ms, RTT : 0.000957, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
UNIX : 2.988100 ms, RTT : 0.000985, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
UNIX : 3.985167 ms, RTT : 0.000980, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
UNIX : 4.985094 ms, RTT : 0.000985, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
UNIX : 5.986214 ms, RTT : 0.000984, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
UNIX : 6.985188 ms, RTT : 0.000983, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
UNIX : 7.986069 ms, RTT : 0.000985, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
UNIX : 8.985043 ms, RTT : 0.000983, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
UNIX : 9.984016 ms, RTT : 0.000983, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
UNIX : 10.987043 ms, RTT : 0.000987, Camera Timestamp (rel) : 0 ms, Camera Timestamp : 1406533100 ms, Blob info : []
FRAME #1 : []
UNIX : 12.025118 ms, RTT : 0.001022, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : [(612, 441, 1, 4), (632, 445, 0, 5), (588, 447, 2, 6), (656, 457, 1, 4), (570, 461, 2, 6), (669, 475, 2, 6)]
UNIX : 13.018131 ms, RTT : 0.000961, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : [(558, 476, 3, 2), (556, 485, 0, 5), (675, 496, 2, 5), (555, 505, 2, 5), (672, 520, 2, 6), (563, 530, 1, 4)]
UNIX : 14.012098 ms, RTT : 0.000968, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : [(575, 546, 2, 5), (664, 543, 1, 4), (644, 558, 1, 5), (619, 562, 1, 4), (597, 560, 1, 4)]
UNIX : 14.987230 ms, RTT : 0.000947, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 15.986204 ms, RTT : 0.000982, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 16.987085 ms, RTT : 0.000980, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 17.984152 ms, RTT : 0.000981, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 18.987179 ms, RTT : 0.000988, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 19.983053 ms, RTT : 0.000980, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 20.985126 ms, RTT : 0.000986, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 21.986008 ms, RTT : 0.000986, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 22.985220 ms, RTT : 0.000983, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 23.985147 ms, RTT : 0.000984, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 24.984121 ms, RTT : 0.000983, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 25.984049 ms, RTT : 0.000984, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 26.986122 ms, RTT : 0.000986, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 27.982235 ms, RTT : 0.000980, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 28.986216 ms, RTT : 0.000988, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 29.983997 ms, RTT : 0.000982, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 30.987024 ms, RTT : 0.000988, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 31.985998 ms, RTT : 0.000983, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 32.983065 ms, RTT : 0.000981, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 33.986092 ms, RTT : 0.000987, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 34.985065 ms, RTT : 0.000983, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 35.983086 ms, RTT : 0.000981, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 36.986113 ms, RTT : 0.000987, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
UNIX : 37.983179 ms, RTT : 0.000982, Camera Timestamp (rel) : 33 ms, Camera Timestamp : 1406533133 ms, Blob info : []
