UNIX : 0.960827 ms, RTT : 0.000961, Camera Timestamp : 0 ms, Blob info : []
UNIX : 1.960993 ms, RTT : 0.000955, Camera Timestamp : 0 ms, Blob info : []
UNIX : 2.962828 ms, RTT : 0.000986, Camera Timestamp : 0 ms, Blob info : []
UNIX : 3.962994 ms, RTT : 0.000985, Camera Timestamp : 0 ms, Blob info : []
UNIX : 4.961014 ms, RTT : 0.000984, Camera Timestamp : 0 ms, Blob info : []
UNIX : 5.960941 ms, RTT : 0.000985, Camera Timestamp : 0 ms, Blob info : []
UNIX : 6.961823 ms, RTT : 0.000987, Camera Timestamp : 0 ms, Blob info : []
UNIX : 7.961035 ms, RTT : 0.000985, Camera Timestamp : 0 ms, Blob info : []
UNIX : 8.961916 ms, RTT : 0.000987, Camera Timestamp : 0 ms, Blob info : []
UNIX : 9.963036 ms, RTT : 0.000986, Camera Timestamp : 0 ms, Blob info : []
UNIX : 10.962963 ms, RTT : 0.000985, Camera Timestamp : 0 ms, Blob info : []
UNIX : 11.961937 ms, RTT : 0.000984, Camera Timestamp : 0 ms, Blob info : []
UNIX : 12.960911 ms, RTT : 0.000985, Camera Timestamp : 0 ms, Blob info : []
UNIX : 13.962030 ms, RTT : 0.000987, Camera Timestamp : 0 ms, Blob info : []
UNIX : 14.962912 ms, RTT : 0.000986, Camera Timestamp : 0 ms, Blob info : []
UNIX : 15.961885 ms, RTT : 0.000985, Camera Timestamp : 0 ms, Blob info : []
UNIX : 16.960859 ms, RTT : 0.000984, Camera Timestamp : 0 ms, Blob info : []
UNIX : 17.959833 ms, RTT : 0.000984, Camera Timestamp : 0 ms, Blob info : []
UNIX : 18.961906 ms, RTT : 0.000987, Camera Timestamp : 0 ms, Blob info : []
UNIX : 19.960880 ms, RTT : 0.000985, Camera Timestamp : 0 ms, Blob info : []
UNIX : 20.962000 ms, RTT : 0.000986, Camera Timestamp : 0 ms, Blob info : []
UNIX : 21.960974 ms, RTT : 0.000984, Camera Timestamp : 0 ms, Blob info : []
UNIX : 22.961855 ms, RTT : 0.000986, Camera Timestamp : 0 ms, Blob info : []
